OriginalName	RevisedName	Order	Family	Genus	Species	BodyMass_Mean	Precip_Mean	Temp_Mean	NDVI_Mean
?Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	D.agilis 	60.21	NA	NA	NA
?Mephitis mephitis	Mephitis mephitis	Carnivora	Mephitidae	Mephitis	M.mephitis	2399.99	52.67	75.97	4182
?Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	M.californicus	57.42	43.86	111	4589
?Mustela frenata	Mustela frenata	Carnivora	Mustelidae	Mustela	M.frenata	190.03	78.21	130.93	4404
?Neotoma sp	Neotoma sp	Rodentia	Cricetidae	Neotoma	N.macrotis	224	NA	NA	3607
?Onychomys torridus	Onychomys torridus	Rodentia	Cricetidae	Onychomys	O.torridus	21.68	22.33	149.35	2474
?Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	O.beecheyi	597.82	49.14	103.49	4755
?Peromyscus maniculatus	Peromyscus maniculatus	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	51.3	61.72	3868
?Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	51.3	61.72	3868
?Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	R.megalotis	10.72	40.68	112.44	3195
?Sorex sp	Sorex sp	Eulipotyphla	Soricidae	Sorex	S.ornatus	5.31	NA	NA	NA
?Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	S.gracilis	462.5	34.13	117.65	2971
?Sylvilagus sp	Sylvilagus sp	Lagomorpha	Leporidae	Sylvilagus	NA	NA	NA	NA	NA
?Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
?Thomomys sp	Thomomys sp	Rodentia	Geomyidae	Thomomys	T.bottae	122.7	26.71	139.89	2644
Aves-NA	Aves	NA	NA	NA	NA	NA	NA	NA	NA
Canis cf dirus	Canis dirus	Carnivora	Canidae	Canis	C.dirus	NA	NA	NA	NA
Canis cf latrans	Canis latrans	Carnivora	Canidae	Canis	C.latrans	NA	NA	NA	NA
Canis dirus	Canis dirus	Carnivora	Canidae	Canis	C.dirus	NA	NA	NA	NA
Canis latrans	Canis latrans	Carnivora	Canidae	Canis	C.latrans	NA	NA	NA	NA
Canis sp	Canis sp	Carnivora	Canidae	Canis	NA	NA	NA	NA	NA
Capromeryx minor	Capromeryx minor	Artiodactyla	Antilocapridae	Capromeryx	C.minor	NA	NA	NA	NA
cf Lepus sp	Lepus sp	Lagomorpha	Leporidae	Lepus	L.californicus	NA	NA	NA	NA
cf Microtus sp	Microtus sp	Rodentia	Cricetidae	Microtus	M.californicus	57.42	43.86	111	4589
cf Otospermophilus beecheyi	Otospermophilus beecheyi	Rodentia	Sciuridae	Otospermophilus	O.beecheyi	597.82	49.14	103.49	4755
cf Peromyscus sp	Peromyscus sp	Rodentia	Cricetidae	Peromyscus	P.maniculatus	19.98	51.3	61.72	3868
cf Reithrodontomys megalotis	Reithrodontomys megalotis	Rodentia	Cricetidae	Reithrodontomys	R.megalotis	10.72	40.68	112.44	3195
cf Spilogale gracilis	Spilogale gracilis	Carnivora	Mephitidae	Spilogale	S.gracilis	462.5	34.13	117.65	2971
cf Tamias sp	Tamias sp	Rodentia	Sciuridae	Tamias	T.merriami	74.77	NA	NA	NA
cf Taxidea taxus	Taxidea taxus	Carnivora	Mustelidae	Taxidea	T.taxus	NA	NA	NA	NA
Dipodomys sp	Dipodomys sp	Rodentia	Heteromyidae	Dipodomys	D.agilis 	60.21	NA	NA	NA
Insecta-Hymenoptera	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-??	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-???	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
Mammalia-?Carnivora	Mammalia	NA	NA	NA	NA	NA	NA	NA	NA
